,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
371,371,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,42140,52.45.237.36,ba:69:f4:f0:3d:02,ba:69:f4,123,17,4,0,0,1654702961894,1654702962132,238,2,180,1654702961894,1654702961894,0,1,90,1654702962132,1654702962132,0,1,90,NTP,System,0,4,,,,,
372,372,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,41269,13.225.0.112,ba:69:f4:f0:3d:02,ba:69:f4,80,6,4,0,0,1654703116056,1654703116075,19,2,120,1654703116056,1654703116056,0,1,66,1654703116075,1654703116075,0,1,54,HTTP.AmazonAWS,Cloud,1,2,,,,,
373,373,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39849,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703251356,1654703251356,0,2,128,1654703251356,1654703251356,0,1,74,1654703251356,1654703251356,0,1,54,Unknown,Unspecified,0,0,,,,,
374,374,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39852,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703251361,1654703251361,0,2,128,1654703251361,1654703251361,0,1,74,1654703251361,1654703251361,0,1,54,Unknown,Unspecified,0,0,,,,,
375,375,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39855,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703251372,1654703251372,0,2,128,1654703251372,1654703251372,0,1,74,1654703251372,1654703251372,0,1,54,Unknown,Unspecified,0,0,,,,,
376,376,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,51746,192.168.88.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703251394,1654703251394,0,2,128,1654703251394,1654703251394,0,1,74,1654703251394,1654703251394,0,1,54,Unknown,Unspecified,0,0,,,,,
377,377,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,63585,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654703251417,1654703251473,56,2,242,1654703251417,1654703251417,0,1,89,1654703251473,1654703251473,0,1,153,DNS.AmazonAWS,Cloud,0,4,d3p8zr0ffa9t17.cloudfront.net,,,,
378,378,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,59598,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654703286091,1654703286229,138,2,290,1654703286091,1654703286091,0,1,81,1654703286229,1654703286229,0,1,209,DNS,Network,0,4,prod.amcs-tachyon.com,,,,
379,379,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,32301,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654703340989,1654703341103,114,2,224,1654703340989,1654703340989,0,1,88,1654703341103,1654703341103,0,1,136,DNS.Amazon,Web,0,4,device-metrics-us.amazon.com,,,,
380,380,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39870,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703551693,1654703551693,0,2,128,1654703551693,1654703551693,0,1,74,1654703551693,1654703551693,0,1,54,Unknown,Unspecified,0,0,,,,,
